#date:2020-04-25
symbol	name	alias_symbol	alias_name	entrez_id	ensembl_gene_id	ucsc_id	refseq_accession	ccds_id	uniprot_ids
FTMT	ferritin mitochondrial	MtF		94033	ENSG00000181867	uc003kss.4	NM_177478	CCDS4128	Q8N4E7
FTO	FTO alpha-ketoglutarate dependent dioxygenase	"KIAA1752|MGC5149|ALKBH9"	"alkB homolog 9|alpha-ketoglutarate-dependent dioxygenase"	79068	ENSG00000140718	uc002ehr.4	NM_001080432	CCDS32448	Q9C0B1
FTSJ1	FtsJ RNA 2'-O-methyltransferase 1	"JM23|CDLIV|SPB1|TRM7|TRMT7"	tRNA methyltransferase 7 homolog (S. cerevisiae)	24140	ENSG00000068438	uc004djo.3	NM_001282157	"CCDS14294|CCDS14295|CCDS75972"	Q9UET6
FTSJ3	FtsJ RNA 2'-O-methyltransferase 3	SPB1	SPB1 RNA methyltransferase homolog (S. cerevisiae)	117246	ENSG00000108592	uc002jca.3	NM_017647	CCDS11644	Q8IY81
FUBP1	far upstream element binding protein 1	FBP	FUSE binding protein 1	8880	ENSG00000162613	uc001dii.4	NM_003902	CCDS683	Q96AE4
FUBP3	far upstream element binding protein 3			8939	ENSG00000107164	uc004bzr.2	NM_003934	CCDS43893	Q96I24
FUCA1	alpha-L-fucosidase 1		"α-L-fucosidase 1|tissue fucosidase|a-L-fucosidase 1"	2517	ENSG00000179163	uc001bie.5	NM_000147	CCDS244	P04066
FUCA2	alpha-L-fucosidase 2	"MGC1314|dJ20N2.5"	"α-L-fucosidase 2|plasma fucosidase|a-L-fucosidase 2"	2519	ENSG00000001036	uc003qjm.4	NM_032020	CCDS5200	Q9BTY2
FUNDC1	FUN14 domain containing 1	MGC51029		139341	ENSG00000069509	uc004dgc.4	NM_173794	CCDS14263	Q8IVP5
FUNDC2	FUN14 domain containing 2	"HCBP6|DC44"		65991	ENSG00000165775	uc004fmw.4	NM_023934	CCDS14763	Q9BWH2
FUOM	fucose mutarotase	"FLJ26016|FucU|FucM"		282969	ENSG00000148803	uc001lmt.3	NM_198472	"CCDS7680|CCDS44499|CCDS76364"	A2VDF0
FURIN	furin, paired basic amino acid cleaving enzyme	SPC1		5045	ENSG00000140564	uc002bpu.2	NM_002569	CCDS10364	P09958
FUS	FUS RNA binding protein	"TLS|FUS1|hnRNP-P2|HNRNPP2"	"heterogeneous nuclear ribonucleoprotein P2|translocated in liposarcoma"	2521	ENSG00000089280	uc002ebf.3	NM_004960	"CCDS10707|CCDS58454"	P35637
FUT1	fucosyltransferase 1 (H blood group)		galactoside 2-alpha-L-fucosyltransferase	2523	ENSG00000174951	uc002pkk.3	NM_000148	CCDS12733	P19526
FUT2	fucosyltransferase 2	"sej|Se2|SEC2"	"alpha (1,2) fucosyltransferase|galactoside 2-alpha-L-fucosyltransferase 2|GDP-L-fucose:beta-D-galactoside 2-alpha-L-fucosyltransferase 2|alpha(1,2)FT2|secretor factor|secretor blood group alpha-2-fucosyltransferase"	2524	ENSG00000176920	uc010emc.4	NM_000511	CCDS33069	Q10981
FUT3	fucosyltransferase 3 (Lewis blood group)	CD174	galactoside 3(4)-L-fucosyltransferase	2525	ENSG00000171124	uc002mdm.3	NM_000149	CCDS12153	P21217
FUT4	fucosyltransferase 4	FUC-TIV	"galactoside 3-L-fucosyltransferase|alpha (1,3) fucosyltransferase, myeloid-specific"	2526	ENSG00000196371	uc001pez.4	NM_002033	CCDS8301	P22083
FUT5	fucosyltransferase 5	FUC-TV	alpha (1,3) fucosyltransferase	2527	ENSG00000130383	uc002mdo.5	NM_002034	CCDS12154	Q11128
FUT6	fucosyltransferase 6	"FT1A|FCT3A|FucT-VI|FLJ40754"	"alpha-(1,3)-fucosyltransferase|galactoside 3-L-fucosyltransferase"	2528	ENSG00000156413	uc002mdg.1	NM_000150	CCDS12152	P51993
FUT7	fucosyltransferase 7		alpha (1,3) fucosyltransferase	2529	ENSG00000180549	uc004ckq.3	NM_004479	CCDS7022	Q11130
FUT8	fucosyltransferase 8		alpha (1,6) fucosyltransferase	2530	ENSG00000033170	uc001xin.3	NM_004480	"CCDS9775|CCDS9776"	Q9BYC5
FUT9	fucosyltransferase 9	Fuc-TIX	alpha (1,3) fucosyltransferase	10690	ENSG00000172461	uc003pop.5	NM_006581	CCDS5033	Q9Y231
FUT10	fucosyltransferase 10		alpha (1,3) fucosyltransferase	84750	ENSG00000172728	uc003xje.4	NM_032664	CCDS6088	Q6P4F1
FUT11	fucosyltransferase 11	MGC33202	alpha (1,3) fucosyltransferase	170384	ENSG00000196968	uc001jva.4	NM_173540	"CCDS7333|CCDS60558"	Q495W5
FUZ	fuzzy planar cell polarity protein	"FLJ22688|Fy|CPLANE3"	ciliogenesis and planar polarity effector 3	80199	ENSG00000010361	uc002ppq.4	NM_025129	"CCDS12781|CCDS54293|CCDS86790"	Q9BT04
FXN	frataxin	"FA|FARR|X25|CyaY"		2395	ENSG00000165060	uc004aha.3	NM_000144	"CCDS6626|CCDS43834"	Q16595
FXR1	FMR1 autosomal homolog 1			8087	ENSG00000114416	uc003fkq.4	NM_001013438	"CCDS3238|CCDS33894|CCDS46965|CCDS87169"	P51114
FXR2	FMR1 autosomal homolog 2			9513	ENSG00000129245	uc002gia.3	NM_004860	CCDS45604	P51116
FXYD1	FXYD domain containing ion transport regulator 1			5348	ENSG00000266964	uc002nyc.5	NM_021902	CCDS12445	O00168
FXYD2	FXYD domain containing ion transport regulator 2	MGC12372		486	ENSG00000137731	uc001prj.2	NM_021603	"CCDS8385|CCDS8386"	P54710
FXYD3	FXYD domain containing ion transport regulator 3	MAT-8		5349	ENSG00000089356	uc002nxv.4	NM_021910	"CCDS12442|CCDS12443|CCDS46048|CCDS46049|CCDS46050"	Q14802
FXYD4	FXYD domain containing ion transport regulator 4	CHIF		53828	ENSG00000150201	uc057swf.1	NM_173160	CCDS7203	P59646
FXYD5	FXYD domain containing ion transport regulator 5	OIT2	dysadherin	53827	ENSG00000089327	uc002nyg.3	NM_014164	"CCDS12447|CCDS82328"	Q96DB9
FXYD6	FXYD domain containing ion transport regulator 6		phosphohippolin	53826	ENSG00000137726	uc021qra.2	NM_022003	CCDS8387	Q9H0Q3
FXYD7	FXYD domain containing ion transport regulator 7			53822	ENSG00000221946	uc002nye.2	NM_022006	CCDS12446	P58549
FYB1	FYN binding protein 1	"SLAP-130|FYB-120/130|ADAP"	adhesion and degranulation promoting adaptor protein	2533	ENSG00000082074	uc003jlu.4	NM_001465	"CCDS47200|CCDS54848|CCDS58945"	O15117
FYB2	FYN binding protein 2	"RP4-758N20.2|FLJ43208|ARAP"	activation-dependent, raft-recruited ADAP-like phosphoprotein	199920	ENSG00000187889	uc001cym.5	NM_001004303	CCDS30729	Q5VWT5
FYCO1	FYVE and coiled-coil domain autophagy adaptor 1	"FLJ13335|ZFYVE7"		79443	ENSG00000163820	uc003cpb.6	NM_024513	CCDS2734	Q9BQS8
FYN	FYN proto-oncogene, Src family tyrosine kinase	"SYN|SLK|MGC45350"		2534	ENSG00000010810	uc003pvk.3	NM_001370529	"CCDS5094|CCDS5095|CCDS5096"	P06241
FYTTD1	forty-two-three domain containing 1	"DKFZp761B1514|UIF"	UAP56-interacting factor	84248	ENSG00000122068	uc003fyi.3	NM_032288	"CCDS3329|CCDS43196"	Q96QD9
FZD1	frizzled class receptor 1	DKFZp564G072	"Wnt receptor|frizzled, Drosophila, homolog of, 1"	8321	ENSG00000157240	uc003ula.4	NM_003505	CCDS5620	Q9UP38
FZD2	frizzled class receptor 2			2535	ENSG00000180340	uc002igx.3	NM_001466	CCDS11484	Q14332
FZD3	frizzled class receptor 3			7976	ENSG00000104290	uc010lvb.4	NM_145866	CCDS6069	Q9NPG1
FZD4	frizzled class receptor 4	CD344		8322	ENSG00000174804	uc001pce.4	NM_012193	CCDS8279	Q9ULV1
FZD5	frizzled class receptor 5	"HFZ5|DKFZP434E2135"		7855	ENSG00000163251	uc002vcj.4	NM_003468	CCDS33366	Q13467
FZD6	frizzled class receptor 6	Hfz6		8323	ENSG00000164930	uc003ylh.4	NM_003506	"CCDS6298|CCDS55268"	O60353
FZD7	frizzled class receptor 7	FzE3		8324	ENSG00000155760	uc002uyw.2	NM_003507	CCDS2351	O75084
FZD8	frizzled class receptor 8			8325	ENSG00000177283	uc001iyz.2	NM_031866	CCDS7192	Q9H461
FZD9	frizzled class receptor 9	"FZD3|CD349"		8326	ENSG00000188763	uc003tyb.4	NM_003508	CCDS5548	O00144
FZD10	frizzled class receptor 10	CD350		11211	ENSG00000111432	uc001uii.4	NM_007197	CCDS9267	Q9ULW2
FZR1	fizzy and cell division cycle 20 related 1	"HCDH1|CDH1|HCDH|FZR|FZR2|KIAA1242|CDC20C"	CDC20 homolog 1	51343	ENSG00000105325	uc002lxt.3	NM_016263	"CCDS12109|CCDS45916|CCDS45917"	Q9UM11
G2E3	G2/M-phase specific E3 ubiquitin protein ligase	"FLJ20333|PHF7B"	PHD finger protein 7B	55632	ENSG00000092140	uc001wqk.3	NM_017769	"CCDS9638|CCDS76669"	Q7L622
G3BP1	G3BP stress granule assembly factor 1	"HDH-VIII|G3BP"	"Ras-GTPase-activating protein SH3-domain-binding protein|DNA helicase VIII"	10146	ENSG00000145907	uc003lum.4	NM_005754	CCDS4319	Q13283
G3BP2	G3BP stress granule assembly factor 2	KIAA0660	Ras-GTPase activating protein SH3 domain-binding protein 2	9908	ENSG00000138757	uc003his.4	NM_012297	"CCDS3571|CCDS3572"	Q9UN86
G6PC	glucose-6-phosphatase catalytic subunit	"GSD1a|G6PC1"	glycogen storage disease type I, von Gierke disease	2538	ENSG00000131482	uc002icb.3	NM_000151	"CCDS11446|CCDS59291"	P35575
G6PC2	glucose-6-phosphatase catalytic subunit 2	IGRP	islet specific glucose 6 phosphatase catalytic subunit related protein	57818	ENSG00000152254	uc002uem.4	NM_021176	"CCDS2230|CCDS46443"	Q9NQR9
G6PC3	glucose-6-phosphatase catalytic subunit 3	UGRP		92579	ENSG00000141349	uc002iex.4	NM_138387	CCDS11476	Q9BUM1
G6PD	glucose-6-phosphate dehydrogenase	G6PD1		2539	ENSG00000160211	uc004flx.3	NM_000402	CCDS44023	P11413
GAA	glucosidase alpha, acid		"Pompe disease|glycogen storage disease type II"	2548	ENSG00000171298	uc002jxo.4	NM_000152	CCDS32760	P10253
GAB1	GRB2 associated binding protein 1			2549	ENSG00000109458	uc003ijd.4	NM_002039	"CCDS3759|CCDS3760"	Q13480
GAB2	GRB2 associated binding protein 2	KIAA0571	Grb2-associated binder 2	9846	ENSG00000033327	uc001ozh.4	NM_080491	"CCDS8259|CCDS8260"	Q9UQC2
GAB3	GRB2 associated binding protein 3		"DOS/Gab family member 3|Gab3 scaffolding protein"	139716	ENSG00000160219	uc004fmj.3	NM_001081573	"CCDS14760|CCDS48198|CCDS65357"	Q8WWW8
GAB4	GRB2 associated binding protein family member 4			128954	ENSG00000215568	uc002zlw.4	NM_001037814	CCDS42976	Q2WGN9
GABARAP	GABA type A receptor-associated protein	"MM46|ATG8A"		11337	ENSG00000170296	uc002gfb.4	NM_007278	CCDS11092	O95166
GABARAPL1	GABA type A receptor associated protein like 1	"gec1|APG8L|ATG8L|ATG8B"		23710	ENSG00000139112	uc001qxs.4	NM_001363598	"CCDS8620|CCDS86280"	Q9H0R8
GABARAPL2	GABA type A receptor associated protein like 2	"GEF2|ATG8|GATE16|GATE-16|ATG8C"		11345	ENSG00000034713	uc002fen.3	NM_007285	CCDS10921	P60520
GABBR1	gamma-aminobutyric acid type B receptor subunit 1	"hGB1a|GPRC3A"	GABA-B receptor	2550	ENSG00000204681	uc003nmt.5	NM_001319053	"CCDS4663|CCDS4664|CCDS4665"	Q9UBS5
GABBR2	gamma-aminobutyric acid type B receptor subunit 2	"HG20|GABABR2|GPRC3B"		9568	ENSG00000136928	uc004ays.5	NM_005458	CCDS6736	O75899
GABPA	GA binding protein transcription factor subunit alpha	"E4TF1A|NFT2|NRF2|E4TF1-60|NRF2A"	"human nuclear respiratory factor-2 subunit alpha|nuclear respiratory factor 2 alpha subunit"	2551	ENSG00000154727	uc002ylx.5	NM_002040	CCDS13575	Q06546
GABPB1	GA binding protein transcription factor subunit beta 1	"E4TF1-47|GABPB"		2553	ENSG00000104064	uc001zya.4	NM_001320910	"CCDS10135|CCDS10136|CCDS32239|CCDS45258"	Q06547
GABPB2	GA binding protein transcription factor subunit beta 2	MGC29891		126626	ENSG00000143458	uc001ewr.3	NM_144618	"CCDS983|CCDS81373"	Q8TAK5
GABRA1	gamma-aminobutyric acid type A receptor subunit alpha1	EJM5	GABA(A) receptor, alpha 1	2554	ENSG00000022355	uc010jix.5	NM_000806.5	CCDS4357	P14867
GABRA2	gamma-aminobutyric acid type A receptor subunit alpha2		GABA(A) receptor, alpha 2	2555	ENSG00000151834	uc062wij.1	NM_000807	"CCDS3471|CCDS82921"	P47869
GABRA3	gamma-aminobutyric acid type A receptor subunit alpha3		GABA(A) receptor, alpha 3	2556	ENSG00000011677	uc010ntk.2	NM_000808	CCDS14706	P34903
GABRA4	gamma-aminobutyric acid type A receptor subunit alpha4		GABA(A) receptor, alpha 4	2557	ENSG00000109158	uc003gxg.3	NM_000809	CCDS3473	P48169
GABRA5	gamma-aminobutyric acid type A receptor subunit alpha5		GABA(A) receptor, alpha 5	2558	ENSG00000186297	uc001zbd.3	NM_000810	CCDS45194	P31644
GABRA6	gamma-aminobutyric acid type A receptor subunit alpha6		GABA(A) receptor, alpha 6	2559	ENSG00000145863	uc003lyu.3	NM_000811	CCDS4356	Q16445
GABRB1	gamma-aminobutyric acid type A receptor subunit beta1		GABA(A) receptor, beta 1	2560	ENSG00000163288	uc003gxh.4	NM_000812	CCDS3474	P18505
GABRB2	gamma-aminobutyric acid type A receptor subunit beta2		GABA(A) receptor, beta 2	2561	ENSG00000145864	uc063jhc.1	NM_000813	"CCDS4354|CCDS4355"	P47870
GABRB3	gamma-aminobutyric acid type A receptor subunit beta3		GABA(A) receptor, beta 3	2562	ENSG00000166206	uc001zaz.5	NM_000814	"CCDS10018|CCDS10019|CCDS53920|CCDS53921"	P28472
GABRD	gamma-aminobutyric acid type A receptor subunit delta		GABA(A) receptor, delta	2563	ENSG00000187730	uc001aip.3	NM_000815	CCDS36	O14764
GABRE	gamma-aminobutyric acid type A receptor subunit epsilon		GABA(A) receptor, epsilon	2564	ENSG00000102287	uc004ffi.3	"NM_004961|NM_021990|NM_021984"	CCDS14703	P78334
GABRG1	gamma-aminobutyric acid type A receptor subunit gamma1		GABA(A) receptor, gamma	2565	ENSG00000163285	uc003gxb.4	NM_173536	CCDS3470	Q8N1C3
GABRG2	gamma-aminobutyric acid type A receptor subunit gamma2		GABA(A) receptor, gamma 2	2566	ENSG00000113327	uc003lyy.5	NM_000816	"CCDS4358|CCDS4359|CCDS47333"	P18507
GABRG3	gamma-aminobutyric acid type A receptor subunit gamma3		GABA(G) receptor, gamma 3	2567	ENSG00000182256	uc001zbg.3	NM_001270873	"CCDS45195|CCDS59251"	Q99928
GABRP	gamma-aminobutyric acid type A receptor subunit pi		GABA(A) receptor, pi	2568	ENSG00000094755	uc003mau.4	NM_014211	"CCDS4375|CCDS75368"	O00591
GABRQ	gamma-aminobutyric acid type A receptor subunit theta		GABA(A) receptor, theta	55879	ENSG00000268089	uc004ffp.2	NM_018558	CCDS14707	Q9UN88
GABRR1	gamma-aminobutyric acid type A receptor subunit rho1		GABA(A) receptor, rho 1	2569	ENSG00000146276	uc003pna.3	NM_001256703	"CCDS5019|CCDS59028|CCDS59029"	P24046
GABRR2	gamma-aminobutyric acid type A receptor subunit rho2		GABA(A) receptor, rho 2	2570	ENSG00000111886	uc003pnb.4	NM_002043	CCDS5020	P28476
GABRR3	gamma-aminobutyric acid type A receptor subunit rho3 (gene/pseudogene)		GABA(A) receptor, rho 3	200959	ENSG00000183185	uc021xbo.2	NM_001105580	CCDS54617	A8MPY1
GAD1	glutamate decarboxylase 1			2571	ENSG00000128683	uc002ugi.4	NM_000817	"CCDS2239|CCDS2240"	Q99259
GAD2	glutamate decarboxylase 2	GAD65		2572	ENSG00000136750	uc001isp.3	NM_000818	CCDS7149	Q05329
GADD45A	growth arrest and DNA damage inducible alpha	GADD45		1647	ENSG00000116717	uc001ddz.3	NM_001924	"CCDS640|CCDS55605|CCDS72806"	P24522
GADD45B	growth arrest and DNA damage inducible beta	"GADD45BETA|DKFZP566B133"	"myeloid differentiation primary response|growth arrest and DNA-damage-inducible beta"	4616	ENSG00000099860	uc002lwb.3	NM_015675	CCDS32868	O75293
GADD45G	growth arrest and DNA damage inducible gamma	"DDIT2|GADD45gamma|GRP17|CR6"	"gadd-related protein, 17 kD|growth arrest and DNA-damage-inducible gamma"	10912	ENSG00000130222	uc004aqq.4	NM_006705	CCDS6686	O95257
GADD45GIP1	GADD45G interacting protein 1	"PLINP-1|MGC4667|MGC4758|CKBBP2|PRG6|Plinp1|CRIF1|CKbetaBP2"	"papillomavirus L2 interacting nuclear protein 1|CKII beta binding protein 2|CR6 interacting factor 1|p53-responsive gene 6"	90480	ENSG00000179271	uc002mwb.5	NM_052850	CCDS12290	Q8TAE8
GADL1	glutamate decarboxylase like 1			339896	ENSG00000144644	uc003cep.3	NM_207359	CCDS2649	Q6ZQY3
GAGE1	G antigen 1	CT4.1	cancer/testis antigen family 4, member 1	2543	ENSG00000205777	uc064zfw.1	NM_001468	CCDS43950	Q13065
GAGE2A	G antigen 2A	CT4.2	cancer/testis antigen family 4, member 2	729447	ENSG00000189064	uc004doi.6	NM_001127212	CCDS48114	Q6NT46
GAGE2B	G antigen 2B			645037			NM_001098411		Q13066
GAGE2C	G antigen 2C			2574			NM_001472		Q13066
GAGE2D	G antigen 2D	GAGE8		729408			NM_001098407		Q9UEU5
GAGE2E	G antigen 2E	GAGE8		26749	ENSG00000275113	uc064zfu.1	NM_001127200		Q4V326
GAGE4	G antigen 4	CT4.4	cancer/testis antigen family 4, member 4	2576			NM_001474		
GAGE5	G antigen 5	CT4.5	cancer/testis antigen family 4, member 5	2577			NM_001475		Q13069
GAGE6	G antigen 6	CT4.6	cancer/testis antigen family 4, member 6	2578			NM_001476		Q13070
GAGE7	G antigen 7	"GAGE-7|CT4.7"	cancer/testis antigen family 4, member 7	2579			NM_021123		O76087
GAGE8	G antigen 8	CT4.8	cancer/testis antigen family 4, member 8	100101629			NM_012196		Q9UEU5
GAGE10	G antigen 10	OTTHUMG00000024136		102724473	ENSG00000215274	uc033ede.2	NM_001098413	CCDS78483	A6NGK3
GAGE12B	G antigen 12B	OTTHUMG00000024142		729428	ENSG00000236737	uc064zfv.1	NM_001127345		A1L429
GAGE12C	G antigen 12C	OTTHUMG00000024144		729422	ENSG00000237671	uc004doc.5	NM_001098408	CCDS43943	A1L429
GAGE12D	G antigen 12D	OTTHUMG00000024145		100132399	ENSG00000227488	uc004dod.5	NM_001127199	CCDS48113	A1L429
GAGE12E	G antigen 12E	OTTHUMG00000024146		729431	ENSG00000216649	uc004doe.5	NM_001098418	CCDS43945	A1L429
GAGE12F	G antigen 12F	OTTHUMG00000024147		100008586	ENSG00000236362	uc004dof.5	NM_001098405	CCDS43946	P0CL80
GAGE12G	G antigen 12G	OTTHUMG00000024148		645073	ENSG00000215269	uc004dog.5	NM_001098409	CCDS43947	P0CL81
GAGE12H	G antigen 12H	OTTHUMG00000024149		729442	ENSG00000224902	uc004doh.5	NM_001098410	CCDS43948	A6NDE8
GAGE12I	G antigen 12I	OTTHUMG00000067390		26748					P0CL82
GAGE12J	G antigen 12J	OTTHUMG00000024137		729396	ENSG00000224659	uc033edf.2	NM_001098406	CCDS43939	A6NER3
GAGE13	G antigen 13	OTTHUMG00000024138		645051	ENSG00000274274	uc064zft.1	NM_001098412	CCDS48110	Q4V321
GAK	cyclin G associated kinase	DNAJC26	auxilin-2	2580	ENSG00000178950	uc003gbm.6	NM_005255	"CCDS3340|CCDS82902"	O14976
GAL	galanin and GMAP prepropeptide	"GMAP|GAL-GMAP|GLNN"	galanin-message-associated peptide	51083	ENSG00000069482	uc001oob.4	NM_001479	CCDS8183	P22466
GAL3ST1	galactose-3-O-sulfotransferase 1	CST	cerebroside (3' phosphoadenylylsulfate:galactosylceramide 3') sulfotransferase	9514	ENSG00000128242	uc062ddw.1	NM_004861	CCDS13879	Q99999
GAL3ST2	galactose-3-O-sulfotransferase 2	GP3ST		64090	ENSG00000154252	uc002wcj.2	NM_022134	CCDS33427	Q9H3Q3
GAL3ST3	galactose-3-O-sulfotransferase 3	GAL3ST2		89792	ENSG00000175229	uc001ogw.4	NM_033036	CCDS8128	Q96A11
GAL3ST4	galactose-3-O-sulfotransferase 4	FLJ12116		79690	ENSG00000197093	uc003utu.4	NM_024637	CCDS5688	Q96RP7
GALC	galactosylceramidase		Krabbe disease	2581	ENSG00000054983	uc001xvt.3	NM_000153	"CCDS9878|CCDS55936|CCDS55937"	P54803
GALE	UDP-galactose-4-epimerase	SDR1E1	"short chain dehydrogenase/reductase family 1E, member 1|UDP-glucose 4-epimerase"	2582	ENSG00000117308	uc001bhx.1	NM_000403	CCDS242	Q14376
GALK1	galactokinase 1			2584	ENSG00000108479	uc032frw.2	NM_000154	CCDS11728	P51570
GALK2	galactokinase 2	GK2		2585	ENSG00000156958	uc001zxj.3	NM_001001556	"CCDS32236|CCDS42034|CCDS73724"	Q01415
GALM	galactose mutarotase		"aldose 1-epimerase|aldose mutarotase|galactomutarotase"	130589	ENSG00000143891	uc002rqy.4	NM_138801	CCDS1797	Q96C23
GALNS	galactosamine (N-acetyl)-6-sulfatase	"GAS|GALNAC6S"	"Morquio syndrome|mucopolysaccharidosis type IVA"	2588	ENSG00000141012	uc002fly.4	NM_000512	CCDS10970	P34059
GALNT1	polypeptide N-acetylgalactosaminyltransferase 1	GalNAc-T1	"protein-UDP acetylgalactosaminyltransferase 1|polypeptide GalNAc transferase 1"	2589	ENSG00000141429	uc002kzb.4	NM_020474	CCDS11915	Q10472
GALNT2	polypeptide N-acetylgalactosaminyltransferase 2	GalNAc-T2	polypeptide GalNAc transferase 2	2590	ENSG00000143641	uc010pwa.2	NM_004481	CCDS1582	Q10471
GALNT3	polypeptide N-acetylgalactosaminyltransferase 3	"GalNAc-T3|HHS|HFTC"	polypeptide GalNAc transferase 3	2591	ENSG00000115339	uc010fph.2	NM_004482	CCDS2226	Q14435
GALNT4	polypeptide N-acetylgalactosaminyltransferase 4	GalNAc-T4	polypeptide GalNAc transferase 4	8693	ENSG00000257594	uc001tbd.4	NM_003774	CCDS53817	Q8N4A0
GALNT5	polypeptide N-acetylgalactosaminyltransferase 5	GalNAc-T5	polypeptide GalNAc transferase 5	11227	ENSG00000136542	uc002tzg.4	NM_014568	CCDS2203	Q7Z7M9
GALNT6	polypeptide N-acetylgalactosaminyltransferase 6	GalNAc-T6	polypeptide GalNAc transferase 6	11226	ENSG00000139629	uc001ryl.2	NM_007210	CCDS8813	Q8NCL4
GALNT7	polypeptide N-acetylgalactosaminyltransferase 7	GALNAC-T7	polypeptide GalNAc transferase 7	51809	ENSG00000109586	uc003isz.4	NM_017423	CCDS3815	Q86SF2
GALNT8	polypeptide N-acetylgalactosaminyltransferase 8	GALNAC-T8	polypeptide GalNAc transferase 8	26290	ENSG00000130035	uc001qne.2	NM_017417	CCDS8533	Q9NY28
GALNT9	polypeptide N-acetylgalactosaminyltransferase 9	GALNAC-T9	polypeptide GalNAc transferase 9	50614	ENSG00000182870	uc001ukc.5	NM_001122636	"CCDS41866|CCDS81755"	Q9HCQ5
GALNT10	polypeptide N-acetylgalactosaminyltransferase 10	GalNAc-T10	polypeptide GalNAc transferase 10	55568	ENSG00000164574	uc003lvh.4	NM_198321	CCDS4325	Q86SR1
GALNT11	polypeptide N-acetylgalactosaminyltransferase 11	GalNAc-T11	polypeptide GalNAc transferase 11	63917	ENSG00000178234	uc010lqg.2	NM_022087	CCDS5930	Q8NCW6
GALNT12	polypeptide N-acetylgalactosaminyltransferase 12	GalNAc-T12	polypeptide GalNAc transferase 12	79695	ENSG00000119514	uc004ayz.3	NM_024642	CCDS6737	Q8IXK2
GALNT13	polypeptide N-acetylgalactosaminyltransferase 13	"KIAA1918|GalNAc-T13"	"UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 13|polypeptide GalNAc transferase 13"	114805	ENSG00000144278	uc002tyr.5	NM_052917	"CCDS2199|CCDS77472"	Q8IUC8
GALNT14	polypeptide N-acetylgalactosaminyltransferase 14	"GalNac-T10|FLJ12691|GalNac-T14"	polypeptide GalNAc transferase 14	79623	ENSG00000158089	uc002rnr.4	NM_024572	"CCDS1773|CCDS58705|CCDS58706"	Q96FL9
GALNT15	polypeptide N-acetylgalactosaminyltransferase 15	"GALNT7|pp-GalNAc-T15"	polypeptide GalNAc transferase 15	117248	ENSG00000131386	uc003car.5	NM_054110	"CCDS33711|CCDS82742"	Q8N3T1
GALNT16	polypeptide N-acetylgalactosaminyltransferase 16	"KIAA1130|GalNAc-T16"	polypeptide GalNAc transferase 16	57452	ENSG00000100626	uc001xlb.3	NM_001168368	CCDS32107	Q8N428
GALNT17	polypeptide N-acetylgalactosaminyltransferase 17	"GALNTL3|GalNAc-T5L|GalNAc-T19|GalNAc-T17|ppGalNAc-T17"	"polypeptide N-acetylgalactosaminyltransferase-like 3|polypeptide GalNAc transferase 3"	64409	ENSG00000185274	uc003tvy.5	NM_022479	CCDS5540	Q6IS24
GALNT18	polypeptide N-acetylgalactosaminyltransferase 18	"MGC71806|GALNT15|GalNAc-T18"	polypeptide GalNAc transferase 18	374378	ENSG00000110328	uc001mjo.3	NM_198516	CCDS7807	Q6P9A2
GALNTL5	polypeptide N-acetylgalactosaminyltransferase like 5	GalNAc-T5L	polypeptide GalNAc transferase-like 5	168391	ENSG00000106648	uc064jlp.1	NM_145292	CCDS5929	Q7Z4T8
GALNTL6	polypeptide N-acetylgalactosaminyltransferase like 6	"GALNT17|GalNAc-T6L"	polypeptide GalNAc transferase-like 6	442117	ENSG00000174473	uc003isv.4	NM_001034845	CCDS34104	Q49A17
GALP	galanin like peptide			85569	ENSG00000197487	uc002qmo.1	NM_033106	"CCDS12940|CCDS46202"	Q9UBC7
GALR1	galanin receptor 1			2587	ENSG00000166573	uc002lms.5	NM_001480	CCDS12012	P47211
GALR2	galanin receptor 2	GALNR2		8811	ENSG00000182687	uc002jqm.3	NM_003857	CCDS11739	O43603
GALR3	galanin receptor 3			8484	ENSG00000128310	uc003aub.1	NM_003614	CCDS13958	O60755
GALT	galactose-1-phosphate uridylyltransferase			2592	ENSG00000213930	uc003zve.5	NM_000155	"CCDS6565|CCDS59122"	P07902
GAMT	guanidinoacetate N-methyltransferase	"PIG2|TP53I2"		2593	ENSG00000130005	uc002lsj.5	NM_138924	"CCDS12064|CCDS45897"	Q14353
GAN	gigaxonin	"GAN1|KLHL16|GIG"	kelch-like family member 16	8139	ENSG00000261609	uc002fgo.4	NM_001377486	CCDS10935	Q9H2C0
GANAB	glucosidase II alpha subunit	"GluII|G2AN|KIAA0088|GIIA"	neutral alpha-glucosidase AB	23193	ENSG00000089597	uc001nub.5	NM_198334	"CCDS8026|CCDS41656|CCDS60817|CCDS60818"	Q14697
GANC	glucosidase alpha, neutral C			2595	ENSG00000214013	uc001zpi.4	NM_198141	"CCDS10084|CCDS76737|CCDS76738"	Q8TET4
GAP43	growth associated protein 43	"B-50|PP46|GAP-43"	"neuron growth-associated protein 43|neuromodulin|nerve growth-related peptide GAP43|axonal membrane protein GAP-43|protein F1|calmodulin-binding protein P-57|neural phosphoprotein B-50"	2596	ENSG00000172020	uc003ebq.3	NM_002045	"CCDS33830|CCDS46890"	P17677
